Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
439.2263536,8.939055386,22.0431447,528.515625,130.2,1
440.2377572,8.638932184,22.06767797,525.2929688,130.5,1
441.2314286,8.672279206,23.33931923,544.6289062,130.8,1
442.2403767,8.705626229,22.88136482,515.625,131.2,1
443.230212,8.572238139,22.52563238,531.7382813,131.5,1
444.2414653,8.538891117,22.02678919,525.2929688,131.8,1
445.2349639,8.638932184,21.99816704,528.515625,132.2,1
446.2424836,8.705626229,22.54607677,525.2929688,132.4,1
447.2330158,7.971991735,22.07585573,518.8476563,132.8,1
448.2424805,7.971991735,22.0635891,525.2929688,133.1,1
449.2353566,8.738973251,22.07585573,531.7382813,133.4,1
450.2322586,9.105790498,22.07176685,525.2929688,133.7,1
451.2400019,8.438850049,22.50518799,522.0703125,134.1,1
452.24492,8.305461959,22.01043367,528.515625,134.4,1
453.2427404,8.972402408,22.4847436,528.515625,134.7,1
454.2320864,8.839014319,22.0635891,505.9570313,135.1,1
455.2412865,8.538891117,22.96723127,528.515625,135.4,1
456.2375109,8.705626229,22.53381014,525.2929688,135.7,1
457.2452385,8.738973251,22.41523266,518.8476563,136,1
458.2397034,8.839014319,22.88136482,525.2929688,136.4,1
459.2438707,8.772320274,22.07176685,534.9609375,136.7,1
460.252461,7.405092353,22.47656584,525.2929688,137,1
461.2580433,8.472197072,22.48883247,525.2929688,137.4,1
462.2432947,8.705626229,22.07585573,515.625,137.6,1
463.233619,8.805667296,22.55016565,538.1835938,138,1
464.2551484,8.738973251,22.52972126,528.515625,138.3,1
465.2387593,8.872361341,22.09221125,522.0703125,138.6,1
466.2492411,9.239178588,22.15354443,525.2929688,139,1
467.2382092,8.805667296,22.47247696,528.515625,139.3,1
468.2492535,8.338808982,22.54607677,528.515625,139.6,1
469.2409766,9.372566678,22.1576333,522.0703125,139.9,1
